id,description,waste_form,latitude,longitude
B1,Plastic packaging waste (PET containers),material,40.7128,-74.006
B2,Steel scrap from automotive manufacturing,material,41.8781,-87.6298
B3,Food waste from restaurant chain,organic,34.0522,-118.2437
B4,Used lithium-ion batteries,material,37.7749,-122.4194
B5,Construction concrete debris,material,29.7604,-95.3698
B6,Waste vegetable oil,liquid,39.9526,-75.1652
B7,Industrial solvents (chlorinated),liquid,32.7157,-117.1611
B8,Discarded office paper/cardboard,material,33.4484,-112.074
B9,Aluminum can production scraps,material,30.2672,-97.7431
B10,Textile waste (cotton/polyester blend),material,35.2271,-80.8431
B11,Expired pharmaceuticals,hazardous,25.7617,-80.1918
B12,Agricultural waste (hay/silage),organic,38.5816,-121.4944
B13,Used motor oil,liquid,32.7763,-96.7969
B14,Glass bottle production leftovers,material,39.2904,-76.6122
B15,Copper wire scraps,material,43.0731,-89.4012
B16,Outdated computer monitors,material,36.1627,-86.7816
B17,Wood pallets and sawdust,material,39.1031,-84.512
B18,Wastewater sludge,liquid,38.627,-90.1994
B19,Discarded PVC piping,material,34.0522,-118.2437
B20,Used plastic shopping bags,material,40.7306,-73.9352
